# settlement cells (memo of 2026-07-21): expected four masses from the
# fixed native gk 1.0.4 (-detail); check with
#   montecarlo/gkmc.py --semantics threshold -n 100000 --seed 1 --check montecarlo/settlement_checks
sc_exc09	support_for	0.1000	gk-1.0.4-detail
sc_exc09	support_against	0.9000	gk-1.0.4-detail
sc_exc09	conflict	0.0000	gk-1.0.4-detail
sc_exc09	ignorance	0.0000	gk-1.0.4-detail
sc_exc05	support_for	0.5000	gk-1.0.4-detail
sc_exc05	support_against	0.5000	gk-1.0.4-detail
sc_exc05	conflict	0.0000	gk-1.0.4-detail
sc_exc05	ignorance	0.0000	gk-1.0.4-detail
sc_exc_certain	support_for	0.0000	gk-1.0.4-detail
sc_exc_certain	support_against	1.0000	gk-1.0.4-detail
sc_exc_certain	conflict	0.0000	gk-1.0.4-detail
sc_exc_certain	ignorance	0.0000	gk-1.0.4-detail
sc_eq_69	support_for	0.0600	gk-1.0.4-detail
sc_eq_69	support_against	0.3600	gk-1.0.4-detail
sc_eq_69	conflict	0.0000	gk-1.0.4-detail
sc_eq_69	ignorance	0.5800	gk-1.0.4-detail
sc_eq_96	support_for	0.3600	gk-1.0.4-detail
sc_eq_96	support_against	0.0600	gk-1.0.4-detail
sc_eq_96	conflict	0.0000	gk-1.0.4-detail
sc_eq_96	ignorance	0.5800	gk-1.0.4-detail
sc_award_32	support_for	0.6000	gk-1.0.4-detail
sc_award_32	support_against	0.3000	gk-1.0.4-detail
sc_award_32	conflict	0.0000	gk-1.0.4-detail
sc_award_32	ignorance	0.1000	gk-1.0.4-detail
sc_dflt_vs_fact	support_for	0.0600	gk-1.0.4-detail
sc_dflt_vs_fact	support_against	0.9000	gk-1.0.4-detail
sc_dflt_vs_fact	conflict	0.0000	gk-1.0.4-detail
sc_dflt_vs_fact	ignorance	0.0400	gk-1.0.4-detail
sc_rank_e1	support_for	1.0000	gk-1.0.4-detail
sc_rank_e1	support_against	0.0000	gk-1.0.4-detail
sc_rank_e1	conflict	0.0000	gk-1.0.4-detail
sc_rank_e1	ignorance	0.0000	gk-1.0.4-detail
sc_rank_e2	support_for	0.1000	gk-1.0.4-detail
sc_rank_e2	support_against	0.9000	gk-1.0.4-detail
sc_rank_e2	conflict	0.0000	gk-1.0.4-detail
sc_rank_e2	ignorance	0.0000	gk-1.0.4-detail
sc_negq_09	support_for	0.9000	gk-1.0.4-detail
sc_negq_09	support_against	0.1000	gk-1.0.4-detail
sc_negq_09	conflict	0.0000	gk-1.0.4-detail
sc_negq_09	ignorance	0.0000	gk-1.0.4-detail
